Product Name;Lighting Type;Space Type;ATEX Certified;Power (W);Lumen Output;Image URL;Product Link
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;19 W;2600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F9.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDN2425DX1
Emergency luminaire for anti-panic lighting in ATEX environments.;Emergency escape lighting,ATEX;Industry;;6 W;550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KE2 ATEX (SKE2)/SKE2010A3.jpg;https://www.etaplighting.com/en/series/KE2/ke2136-f-atex1
Mini emergency module for escape route lighting. Recessed mounting. ;Emergency escape lighting;Offices;;3 W;210 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK95 - K9R mini/SK9501A3.jpg;https://www.etaplighting.com/en/series/K9-mini/k9r0123n
IP65 emergency luminaire for single sided signage. Wall mounted. ;Emergency signage;Schools;;3 W;130 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2012A2.jpg;https://www.etaplighting.com/en/series/K2-picto/k233-230-f
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;33 W;4550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7SP36X1.jpg;https://www.etaplighting.com/en/series/R7/R729R1LEDW3645DX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;74 W;10350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4211LED2W080D
"Square emergency luminaire for escape route lighting. Surface mounted.
";Emergency escape lighting;Schools;;3 W;70 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1111A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r1133s3
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;61 W;6750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/R7-848X1_copy.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDW4870DEX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;51 W;6450 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4601LED2W060S
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;51 W;6650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A3.jpg;https://www.etaplighting.com/en/series/E2-Atex/E21LED4N060D-ATEX1
Softlight with 100% indirect lighting.;Recessed luminaires;Schools;;33 W;3750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/US3 (SUS)/SUS1006A2.jpg;https://www.etaplighting.com/en/series/US3/US3140LEDN35S
Emergency luminaire for single- or double-sided signage. Surface mounted. ;Emergency signage;Schools;;1 W;90 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A2.jpg;https://www.etaplighting.com/en/series/K1R-picto/k1r1421
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;48 W;6200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4100A1.jpg;https://www.etaplighting.com/en/series/E4/E4010LED1N060S
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;75 W;9950 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A5.jpg;https://www.etaplighting.com/en/series/E2-Atex/E21LED6N090S3-ATEX1
Emergency luminaire for single- or double-sided signage. Surface mounted. ;Emergency signage;Schools;;1 W;90 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A2.jpg;https://www.etaplighting.com/en/series/K1R-picto/k1r1431s3
Mini emergency module for escape route lighting. Recessed mounting. ;Emergency escape lighting;Offices;;3 W;210 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK95 - K9R mini/SK9501A3.jpg;https://www.etaplighting.com/en/series/K9-mini/k9r013n-230s20
Minimalistic design square emergency luminaire for anti-panic lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;220 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9100A2.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1233x1s2
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;47 W;6300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/R7-848X1_copy.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDW4860DX1
IP65 emergency luminaire for double sided signage. Surface mounted. ;Emergency signage;Schools;;3 W;55 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2020A1.jpg;https://www.etaplighting.com/en/series/K2-picto/k2433-f
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;106 W;12950 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4401LED4W120D
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;74 W;10050 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4411LED2N080D
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;21 W;2250 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP18X1.jpg;https://www.etaplighting.com/en/series/R7/R711R1LEDW1820DX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;70 W;10300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104B3.jpg;https://www.etaplighting.com/en/series/E4/E4215LED4N080D
Emergency luminaire for escape route lighting. Surface mounted. ;Emergency escape lighting;Industry;;3 W;320 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1 (SK1)/SK1010 - Fresnellens/SK1010A2.jpg;https://www.etaplighting.com/en/series/K1-light/k1123
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;35 W;4750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A9.jpg;https://www.etaplighting.com/en/series/R7/R720R1LEDW3645DX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;97 W;12550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4011LED2N120D
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;70 W;10150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED2N080S
Minimalistic design emergency luminaire for single sided signage. Parallel to wall mounting.;Emergency signage;Offices;;1 W;50 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9401A1.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r4351x2s2
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;51 W;6450 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED1W060S
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;55 W;6650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/R7-848X1_copy.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDN4870DEX1
IP65 emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;6 W;500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2010B1.jpg;https://www.etaplighting.com/en/series/K2-light/k2626s2
Minimalistic design square emergency luminaire for high light levels. Surface mounted.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9106A2.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1623x1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;26 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A9.jpg;https://www.etaplighting.com/en/series/R7/R750R1LEDW3635DX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;77 W;9200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4100A1.jpg;https://www.etaplighting.com/en/series/E4/E4010LED15W090S
Minimalistic design emergency luminaire for single- and double sided signage. Recessed mounted.;Emergency signage;Offices;;3 W;85 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK93 - K9R vierkante signalering/SK9303A1.jpg;https://www.etaplighting.com/en/series/K9-mini-picto/k9r3533x1s2
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;27 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP36X1.jpg;https://www.etaplighting.com/en/series/R7/R751R1LEDW3635SX1
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;47 W;6650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/R7-848X1_copy.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDN4870SX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;106 W;13250 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4211LED2W120DE
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;37 W;4650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP24X1.jpg;https://www.etaplighting.com/en/series/R7/R711R1LEDW2445DX1
"Square emergency luminaire for escape route lighting. Surface mounted.
";Emergency escape lighting;Schools;;6 W;500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1111A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r1126
Surface-mounted and suspended diffusor luminaire.;Surface mounted & suspended luminaires,Wall luminaires;Schools;;44 W;5500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R8 (SR8)/SR8100 - R8 opbouw - plafond/SR8100A3.jpg;https://www.etaplighting.com/en/series/R8/R830R1LEDW55S
Emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;1 W;200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A4.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r1651s2
Minimalistic design square emergency luminaire for escape route lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9102A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1133x2s2
Minimalistic design square emergency luminaire for escape route lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9102A2.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1123x1s2
Mini emergency module for escape route lighting. Recessed mounting. ;Emergency escape lighting;Offices;;3 W;210 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK95 - K9R mini/SK9501A3.jpg;https://www.etaplighting.com/en/series/K9-mini/k9r0153ns2
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;19 W;2500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4401LED1W020S
Emergency luminaire for single- or double-sided signage. Surface mounted. ;Emergency signage;Schools;;3 W;90 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A2.jpg;https://www.etaplighting.com/en/series/K1R-picto/k1r141-230-f
IP65 emergency luminaire for anti-panic lighting. Surface mounted. C0:C90 value of this luminaire: B500:B500.;Emergency escape lighting;Schools;;3 W;288 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_VW-AP.jpg;https://www.etaplighting.com/en/series/K2-light/k2223-a-b500b500
"Square emergency luminaire for escape route lighting. Surface mounted.
";Emergency escape lighting;Schools;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1111A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r1133
Round emergency luminaire for escape route lighting. Recessed mounting. ;Emergency escape lighting;Schools;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1112A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r213n-230
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;35 W;4750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A9.jpg;https://www.etaplighting.com/en/series/R7/R750R1LEDW3645DX1
Minimalistic design square emergency luminaire for anti-panic lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/K9R32X1.jpg;https://www.etaplighting.com/en/series/K9-light/k9r3233x1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;97 W;13200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED2N120S
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;22 W;3100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F9.jpg;https://www.etaplighting.com/en/series/R7/R738R1LEDN2430DX1
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;33 W;4600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7SP36X1.jpg;https://www.etaplighting.com/en/series/R7/R719R1LEDN3645SX1
Square emergency luminaire for anti-panic lighting. Surface mounted.;Emergency escape lighting;Schools;;3 W;300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1101A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r1223s4
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;49 W;6400 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4401LED2N060S
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;51 W;6750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001A4-white.jpg;https://www.etaplighting.com/en/series/R7/R730R1LEDW4870SX1
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;19 W;3000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/SR32004A1.jpg;https://www.etaplighting.com/en/series/R3/R3150LEDN430DX1
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;20 W;3000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/SR32004A1.jpg;https://www.etaplighting.com/en/series/R3/R3150LEDW430DX1
Minimalistic design emergency luminaire for single- and double sided signage. Ceiling mounted.;Emergency signage;Offices;;3 W;50 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK93 - K9R vierkante signalering/SK9302A2.jpg;https://www.etaplighting.com/en/series/K9-mini-picto/k9r153-230x1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;48 W;6500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED1N060D
Minimalistic design emergency luminaire for single- and double sided signage. Perpendicular to wall mounting.;Emergency signage;Offices;;1 W;50 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9404A2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r5451x1s2
Minimalistic design round emergency luminaire for high light levels. Recessed.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9107A4.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2623x2
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;15 W;2150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/Pendel/R3RP2X1A.jpg;https://www.etaplighting.com/en/series/R3/R3111LEDW220DX1
Round emergency luminaire for escape route lighting. Recessed mounting. ;Emergency escape lighting;Schools;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1112A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r2133
Architectural spot light.;Spots;Toilets,Offices;;12 W;1250 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Flare (SFL)/SFL001B5.jpg;https://www.etaplighting.com/en/series/Flare/FLARE-11LEDW10S
Minimalistic design square emergency luminaire for high light levels. Recessed.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/K9R36X1.jpg;https://www.etaplighting.com/en/series/K9-light/k9r3653x1
Round emergency luminaire for escape route lighting. Recessed mounting. ;Emergency escape lighting;Schools;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1112A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r213-230s20
Renovation module to led for ETAP K8 fluo emergency lighting;Renovation modules emergency lighting;;;3 W;243 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K8 (SK8)/SK8003a.jpg;https://www.etaplighting.com/en/series/K-renovation-module/k8m12
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;25 W;3150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F9.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDW2430SX1
Square emergency luminaire for single- or double-sided signage. Surface mounted.;Emergency signage;Offices;;3 W;150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/K1-met-rode-picto.jpg;https://www.etaplighting.com/en/series/K1R-mini-picto/k1r1553l2
Surface-mounted or suspended Shielded Lens luminaire.;Surface mounted & suspended luminaires;Schools;;18 W;2950 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R3/SR32004A8.jpg;https://www.etaplighting.com/en/series/R3/R3318LEDW430DX1
Mini emergency module for escape route lighting. Recessed mounting. ;Emergency escape lighting;Offices;;3 W;210 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK95 - K9R mini/SK9501A3.jpg;https://www.etaplighting.com/en/series/K9-mini/k9r0133n
Minimalistic design square emergency luminaire for high light levels. Surface mounted.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9106A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r163n-230x2
Surface-mounted and suspended diffusor luminaire.;Surface mounted & suspended luminaires;Schools;;37 W;4550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R8 (SR8)/SR8102 - R8 pendel/SR8102A2.jpg;https://www.etaplighting.com/en/series/R8/R821R1LEDW45S
Minimalistic design emergency luminaire for single- and double sided signage. Ceiling mounted.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK96 - K9R signalering Frankrijk/SK9602A4.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r141-230-fx2
Emergency luminaire for anti-panic lighting in ATEX environments.;Emergency escape lighting,ATEX;Industry;;6 W;550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KE2 ATEX (SKE2)/SKE2010A3.jpg;https://www.etaplighting.com/en/series/KE2/ke216n-230-atex1
Minimalistic design emergency luminaire for single sided signage. Parallel to wall mounting.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK96 - K9R signalering Frankrijk/SK9601A2.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r4331-fx1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems,Luminaires for high ceilings;Industry;;99 W;13350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4102A1.jpg;https://www.etaplighting.com/en/series/E4/E4210LED2N120D
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;26 W;3550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F1.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDW3635DX1
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;39 W;4900 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A1.jpg;https://www.etaplighting.com/en/series/E2-Atex/E24LED3N045D-ATEX1
IP65 emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;6 W;600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2010B1.jpg;https://www.etaplighting.com/en/series/K2-light/k2626
Minimalistic design round emergency luminaire for anti-panic lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;220 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9104A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2223x1s2
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;70 W;10150 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104B3.jpg;https://www.etaplighting.com/en/series/E4/E4615LED4N080S
IP65 emergency luminaire for anti-panic lighting. Surface mounted. ;Emergency escape lighting;Schools;;3 W;288 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/K2_VW-AP.jpg;https://www.etaplighting.com/en/series/K2-light/k2253o
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;51 W;6550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A3.jpg;https://www.etaplighting.com/en/series/E2-Atex/E24LED4N060D5-ATEX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;149 W;20550 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4611LED4W160S
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;52 W;6500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4201LED2W060D
Minimalistic design round emergency luminaire for high light levels. Recessed.;Emergency escape lighting;Offices;;3 W;280 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9107A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2653x1
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;38 W;5100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP36X1.jpg;https://www.etaplighting.com/en/series/R7/R731R1LEDW3650DX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;75 W;10250 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4601LED4W080S
Minimalistic design emergency luminaire for single- and double sided signage. Ceiling mounted.;Emergency signage;Offices;;3 W;85 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK93 - K9R vierkante signalering/SK9302A3.jpg;https://www.etaplighting.com/en/series/K9-mini-picto/k9r1533-fx2
Minimalistic design square emergency luminaire for escape route lighting. Surface mounted.;Emergency escape lighting;Offices;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9102A2.jpg;https://www.etaplighting.com/en/series/K9-light/k9r1133x1s2
Minimalistic design emergency luminaire for single- and double sided signage. Recessed mounted.;Emergency signage;Offices;;3 W;45 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK93 - K9R vierkante signalering/SK9303A1.jpg;https://www.etaplighting.com/en/series/K9-mini-picto/k9r353-230-fx1
Minimalistic design emergency luminaire for single- and double sided signage. Ceiling mounted.;Emergency signage;Offices;;1 W;80 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/K9R14X1.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r141-230x1s20
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;27 W;3600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP24X1.jpg;https://www.etaplighting.com/en/series/R7/R721R1LEDN2435SX1
